RELATÓRIO DE COLUNAS REMOVIDAS POR VALORES FALTANTES
======================================================================
Data de análise: 2025-09-03 16:03:39
Dataset original: /Users/marcelosilva/Desktop/copia2 - artigo peer/predição_amamentação/4 - arquivo final sem bloco E/criancas_menores_6_meses_reorganizado.csv
Total de linhas no dataset: 1,960
Total de colunas original: 691
Limiar definido: 30.0% de valores faltantes
Total de colunas removidas: 345
Total de colunas mantidas: 346

DETALHES DAS COLUNAS REMOVIDAS:
--------------------------------------------------
Coluna | Missing | Total | Percentual
q036_aposentadoria | 1334 | 1960 | 68.06%
q037_outro_beneficio | 1334 | 1960 | 68.06%
q039_nao_sabe | 1334 | 1960 | 68.06%
p04_aluguel | 1325 | 1960 | 67.60%
i010_4m_cabeca | 1317 | 1960 | 67.19%
i011_4m_maos | 1317 | 1960 | 67.19%
i012_4m_ri | 1317 | 1960 | 67.19%
i013_4m_sentada | 1317 | 1960 | 67.19%
i014_4m_sons | 1317 | 1960 | 67.19%
i015_4m_olha | 1317 | 1960 | 67.19%
i016_4m_barriga | 1317 | 1960 | 67.19%
i017_4m_brinquedo | 1317 | 1960 | 67.19%
i018_4m_procura | 1317 | 1960 | 67.19%
i019_4m_segura | 1317 | 1960 | 67.19%
k09_licenca | 1252 | 1960 | 63.88%
h06_chupeta_comecou | 1142 | 1960 | 58.27%
h07_chupeta_medida1 | 1142 | 1960 | 58.27%
k26_idade | 1098 | 1960 | 56.02%
k27_idade_medida | 1098 | 1960 | 56.02%
j07_nao_empregado | 1068 | 1960 | 54.49%
w01_motivo | 971 | 1960 | 49.54%
i000_2m_faz | 901 | 1960 | 45.97%
i001_2m_feliz | 901 | 1960 | 45.97%
i002_2m_segue | 901 | 1960 | 45.97%
i003_2m_vira | 901 | 1960 | 45.97%
i004_2m_cabeca | 901 | 1960 | 45.97%
i005_2m_maos | 901 | 1960 | 45.97%
i006_2m_ri | 901 | 1960 | 45.97%
i007_2m_sentada | 901 | 1960 | 45.97%
i008_2m_sons | 901 | 1960 | 45.97%
i009_2m_olha | 901 | 1960 | 45.97%
k19_somente_medida | 659 | 1960 | 33.62%
m10_quem_divide | 657 | 1960 | 33.52%
m1001_p01 | 657 | 1960 | 33.52%
m1002_p02 | 657 | 1960 | 33.52%
m1003_p03 | 657 | 1960 | 33.52%
m1004_p04 | 657 | 1960 | 33.52%
m1005_p05 | 657 | 1960 | 33.52%
m1006_p06 | 657 | 1960 | 33.52%
m1007_p07 | 657 | 1960 | 33.52%
m1008_p08 | 657 | 1960 | 33.52%
m1009_p09 | 657 | 1960 | 33.52%
m1010_p10 | 657 | 1960 | 33.52%
m1011_p11 | 657 | 1960 | 33.52%
m1012_p12 | 657 | 1960 | 33.52%
m1013_p13 | 657 | 1960 | 33.52%
m1014_p14 | 657 | 1960 | 33.52%
m1015_p15 | 657 | 1960 | 33.52%
m1016_p16 | 657 | 1960 | 33.52%
m1017_p17 | 657 | 1960 | 33.52%
m1018_p18 | 657 | 1960 | 33.52%
m1019_p19 | 657 | 1960 | 33.52%
m1020_p20 | 657 | 1960 | 33.52%
m1021_p21 | 657 | 1960 | 33.52%
m1022_p22 | 657 | 1960 | 33.52%
